   Clase     Valor
       0         0
       5        40
       5        41
       5       123
       1         5
       0         1
       5        44
       0         2
       5        59
       1         0
       0         3
       5        59
       0         3
       2        61
       6         0
       5        59
       0         1
       2        61
       7  2.200000
       5        59
       0         2
       2        61
       0         1
       4         2
       6         0
       5        59
       1         3
       5        40
       0         2
       5        41
       5        59
       1         1
       5        40
       8         0
       5        44
       0         2
       5        41
       5        59
       0         1
       2        61
       6         1
       4         1
       6         3
       5        59
       1         2
       5       123
       1         1
       5        40
       8         1
       5        41
       5        59
       5       125
       1         4
       5        40
       0         1
       3         2
       0         2
       5        41
       5        59
       1         6
       5        40
       0         4
       3         2
       3         2
       0         5
       5        41
       5       123
       1         3
       5        40
       0         4
       5        41
       5        59
       5       125
       1         7
       5       123
       1         1
       5        40
       8         2
       5        41
       4         0
       4         3
       0         6
       0         7
       4         3
       4         0
       5       125
       5       125
       1         5
       0         8
       5        40
       5        41
       5       123
       5       125
